longitudine,latitudine
11.343093333333334,44.49375333333333
11.343093333333334,44.49375333333333
11.343093333333334,44.49375333333333
11.343093333333334,44.49375333333333
11.3430983,44.4940367
11.3432383,44.49399
11.3432183,44.4940367
11.3432183,44.4940367
11.3407467,44.503175
11.3432183,44.4940367
